H0A,Not assigned
H1A,Pointe-aux-Trembles
H2A,Saint-Michel
H3A,Downtown Montreal
H4A,Notre-Dame-de-Grâce
H5A,Place Bonaventure
H7A,Duvernay-Est
H8A,Not assigned
H9A,Dollard-des-Ormeaux
H0B,Not assigned
H1B,Montreal 
H2B,Ahuntsic
H3B,Downtown Montreal
H4B,Notre-Dame-de-Grâce
H5B,Place Desjardins
H7B,Saint-François
H8B,Not assigned
H9B,Dollard-des-Ormeaux
H0C,Not assigned
H1C,Rivière-des-Prairies
H2C,Ahuntsic
H3C,Griffintown
H4C,Saint-Henri
H5C,Not assigned
H7C,Saint-Vincent-de-Paul
H8C,Not assigned
H9C,L'Île-Bizard
H0E,Not assigned
H1E,Rivière-des-Prairies
H2E,Villeray
H3E,L'Île-Des-Soeurs
H4E,Ville Émard
H5E,Not assigned
H7E,Duvernay
H8E,Not assigned
H9E,L'Île-Bizard
H0G,Not assigned
H1G,Montréal-Nord
H2G,Petite-Patrie
H3G,Downtown Montreal
H4G,Verdun
H5G,Not assigned
H7G,Pont-Viau
H8G,Not assigned
H9G,Dollard-des-Ormeaux
H1H,Montréal-Nord
H2H,Plateau Mont-Royal
H3H,Downtown Montreal
H4H,Verdun
H5H,Not assigned
H7H,Auteuil
H8H,Not assigned
H9H,Sainte-Geneviève / Pierrefonds
H0J,Not assigned
H1J,Anjou
H2J,Plateau Mont-Royal
H3J,Petite-Bourgogne
H4J,Cartierville
H5J,Not assigned
H7J,Auteuil
H8J,Not assigned
H9J,Kirkland
H0K,Not assigned
H1K,Anjou
H2K,Centre-Sud
H3K,Pointe-Saint-Charles
H4K,Cartierville
H5K,Not assigned
H7K,Auteuil
H8K,Not assigned
H9K,Senneville
H0L,Not assigned
H1L,Mercier
H2L,Centre-Sud
H3L,Ahuntsic
H4L,Saint-Laurent
H5L,Not assigned
H7L,Sainte-Rose
H8L,Not assigned
H9L,Not assigned
H0M,Akwesasne Region
H1M,Mercier
H2M,Ahuntsic
H3M,Cartierville
H4M,Saint-Laurent
H5M,Not assigned
H7M,Vimont
H8M,Not assigned
H9M,Not assigned
H0N,Not assigned
H1N,Mercier
H2N,Ahuntsic
H3N,Parc-Extension
H4N,Saint-LaurentOuter 
H5N,Not assigned
H7N,Laval-des-Rapides
H8N,LaSalle
H9N,Not assigned
H0P,Not assigned
H1P,Saint-Léonard
H2P,Villeray
H3P,Mount Royal
H4P,Mount Royal
H5P,Not assigned
H7P,Fabreville
H8P,LaSalle
H9P,DorvalOutskirts
H0R,Not assigned
H1R,Saint-Léonard
H2R,Villeray
H3R,Mount Royal
H4R,Saint-Laurent
H5R,Not assigned
H7R,Laval-sur-le-Lac
H8R,Ville Saint-Pierre
H9R,Pointe-Claire
H0S,Not assigned
H1S,Saint-Léonard
H2S,Petite-Patrie
H3S,Côte-des-Neiges
H4S,Saint-Laurent
H5S,Not assigned
H7S,Chomedey
H8S,Lachine
H9S,Dorval / L'Île-Dorval
H0T,Not assigned
H1T,Rosemont
H2T,Plateau Mont-Royal
H3T,Côte-des-Neiges
H4T,Saint-Laurent
H5T,Not assigned
H7T,Chomedey
H8T,Lachine
H9T,Not assigned
H0V,Not assigned
H1V,Maisonneuve
H2V,Outremont
H3V,Côte-des-Neiges
H4V,Côte Saint-Luc
H5V,Not assigned
H7V,Chomedey
H8V,Not assigned
H9V,Not assigned
H0W,Not assigned
H1W,Hochelaga
H2W,Plateau Mont-Royal
H3W,Côte-des-Neiges
H4W,Côte Saint-Luc
H5W,Not assigned
H7W,Chomedey
H8W,Not assigned
H9W,Beaconsfield
H0X,Not assigned
H1X,Rosemont
H2X,Plateau Mont-Royal
H3X,Hampstead / Côte Saint-Luc
H4X,Montreal 
H5X,Not assigned
H7X,Sainte-Dorothée
H8X,Not assigned
H9X,Sainte-Anne-De-Bellevue
H0Y,Not assigned
H1Y,Rosemont
H2Y,Old Montreal
H3Y,Westmount
H4Y,Dorval
H5Y,Not assigned
H7Y,Îles-Laval
H8Y,Pierrefonds-Roxboro
H9Y,Not assigned
H0Z,Not assigned
H1Z,Saint-Michel
H2Z,Downtown Montreal
H3Z,Westmount
H4Z,Tour de la Bourse
H5Z,Not assigned
H7Z,Not assigned
H8Z,Pierrefonds
H9Z,Not assigned
